Adduct,Size,Sequence,Polymerase,Outcome
14,6,13,8,2
14,3,15,4,2
14,16,12,3,1
14,4,13,8,2
14,15,12,14,1
14,13,14,11,1
14,13,21,13,2
14,13,14,1,2
14,6,32,15,2
14,9,13,1,2
14,17,3,36,2
14,4,13,2,2
14,10,14,3,2
14,11,23,14,2
14,17,10,6,1
14,14,12,9,1
14,11,17,10,2
14,5,30,10,2
14,14,12,12,1
14,11,17,16,2
14,13,4,41,2
14,6,14,22,2
14,15,10,11,2
14,2,16,32,2
14,5,32,10,2
14,6,12,6,2
14,4,41,16,2
14,12,17,7,2
14,3,38,18,2
14,15,11,16,2
14,10,3,18,1
14,13,12,16,1
14,1,44,18,2
14,14,11,11,1
14,10,20,10,2
14,4,11,37,2
15,11,14,1,2
15,14,12,37,2
15,14,11,38,2
15,3,23,7,2
15,13,22,16,2
15,3,29,7,2
15,12,14,35,2
15,3,43,13,2
15,13,18,16,2
15,11,12,39,2
15,19,7,21,2
15,10,7,41,2
15,9,12,11,2
15,2,46,18,2
15,10,13,38,2
15,18,6,37,2
15,8,7,41,2
15,2,45,18,2
15,3,41,12,2
15,12,22,12,2
15,19,8,33,2
15,18,10,27,2
15,4,18,24,2
15,3,45,17,2
15,4,14,36,2
15,14,12,14,1
15,14,7,40,2
15,2,43,19,2
15,10,11,1,2
15,3,44,16,2
15,17,7,3,1
15,9,15,37,2
15,9,12,1,2
15,7,12,9,2
16,15,8,40,2
16,12,13,1,2
16,13,7,42,2
16,9,10,4,2
16,2,44,18,2
16,1,46,16,2
16,10,13,2,2
16,15,12,10,1
16,15,6,40,2
16,8,4,8,1
16,2,46,16,2
16,11,3,41,2
16,6,7,8,1
16,15,14,30,2
16,10,13,1,2
16,11,11,1,2
16,2,45,14,2
16,7,3,10,1
16,17,9,17,2
16,2,46,18,2
16,14,14,33,2
16,2,46,17,2
16,1,40,20,2
16,18,12,32,2
16,1,22,29,2
16,15,11,7,1
16,2,23,5,2
16,4,41,17,2
16,3,16,35,2
16,6,16,17,2
16,1,44,18,2
16,6,7,8,1
17,9,12,12,2
17,11,14,39,2
17,2,44,14,2
17,15,13,17,2
17,4,11,11,2
17,19,7,7,2
17,2,45,16,2
17,1,43,18,2
17,10,4,13,1
17,19,4,39,2
17,2,40,17,2
17,4,32,19,2
17,10,8,5,1
17,1,45,16,2
17,10,5,5,1
17,12,11,1,2
17,17,5,41,2
17,13,14,2,2
17,14,13,18,2
17,2,40,19,2
17,1,44,17,2
17,11,12,39,2
17,17,7,40,2
17,8,11,9,2
17,16,13,12,1
17,1,45,16,2
17,15,16,13,1
17,14,9,41,2
17,9,3,13,1
17,14,16,11,2
17,2,33,10,2
17,7,5,14,1
17,16,12,37,2
17,7,4,12,1
17,5,12,10,2
17,9,3,11,1
17,1,44,18,2
17,10,5,6,1
17,1,42,12,2
17,4,14,20,2
17,14,16,15,2
17,6,4,13,1
17,1,20,26,2
18,4,11,12,2
18,3,23,20,2
18,6,15,36,2
18,5,8,14,1
18,8,3,20,1
18,1,18,9,2
18,16,14,36,2
18,4,9,14,1
18,11,3,15,1
18,6,12,13,2
18,12,3,10,1
18,13,14,1,2
18,11,3,14,1
18,10,3,14,1
18,1,27,21,2
18,5,8,14,1
18,2,22,16,2
18,8,7,13,1
18,18,3,37,2
18,16,13,16,2
18,11,12,14,2
18,9,3,18,1
18,6,6,14,1
18,12,13,2,2
18,15,3,40,2
18,11,3,13,1
18,17,12,27,2
18,18,7,15,2
18,1,40,16,2
18,4,12,20,2
18,8,13,38,2
18,9,13,19,2
18,11,13,13,2
18,16,4,42,2
18,17,3,41,2
18,18,13,30,2
18,5,8,13,1
18,13,4,6,1
18,1,44,17,2
18,5,5,14,1
18,16,13,14,2
18,7,13,36,2
18,9,5,13,1
18,9,4,10,1
18,16,3,42,2
19,19,5,19,2
19,6,15,18,2
19,4,12,15,2
19,19,6,36,2
19,11,3,20,1
19,3,14,17,2
19,5,9,15,1
19,12,3,14,1
19,5,18,29,2
19,9,10,13,1
19,10,11,14,1
19,10,7,40,2
19,17,4,42,2
19,15,5,42,2
19,13,8,4,1
19,15,13,39,2
19,5,11,14,2
19,9,12,19,2
19,6,7,16,1
19,8,14,20,2
19,18,8,40,2
19,12,3,15,2
19,12,3,22,1
19,16,15,15,2
19,14,12,2,1
19,11,12,16,2
19,12,4,8,1
19,13,13,19,2
19,17,12,3,1
19,5,11,16,2
19,13,12,4,1
19,19,6,10,2
19,4,11,14,2
19,2,15,13,2
19,1,38,18,2
19,14,13,1,2
19,4,9,18,1
19,11,12,16,2
19,12,13,7,2
19,2,13,12,2
19,3,9,21,2
19,4,11,17,2
19,12,6,8,1
19,9,5,17,1
19,19,7,2,1
19,5,10,14,2
19,3,10,15,2
19,17,13,5,1
19,7,11,15,2
19,1,37,15,2
19,17,9,40,2
19,4,12,13,2
19,17,6,42,2
19,5,11,15,2
19,6,11,16,2
19,14,3,18,1
19,17,14,17,2
20,12,9,13,1
20,19,11,1,2
20,10,17,36,2
20,15,15,4,1
20,6,8,28,2
20,15,3,8,1
20,9,12,19,2
20,12,3,29,2
20,19,9,34,2
20,15,12,40,2
20,5,11,18,2
20,15,3,22,2
20,12,3,31,2
20,14,3,20,2
20,18,8,7,2
20,18,9,6,1
20,4,20,19,2
20,10,12,38,2
20,15,16,13,2
20,5,8,21,1
20,14,3,13,1
20,19,7,23,2
20,14,3,24,2
20,1,20,16,2
20,4,12,19,1
20,3,12,16,1
20,19,9,4,1
20,13,4,13,1
20,18,10,4,1
20,18,6,42,2
20,17,5,42,2
20,17,9,41,2
20,15,15,38,2
20,19,12,22,2
20,11,10,14,1
20,15,15,39,2
20,5,7,25,2
20,13,7,8,1
20,1,24,14,2
20,15,14,1,2
20,18,6,42,2
20,13,3,40,2
20,1,30,18,2
20,1,31,19,2
21,19,6,4,1
21,8,13,30,2
21,8,7,26,2
21,17,16,35,2
21,15,5,15,2
21,8,12,23,2
21,15,13,2,1
21,19,7,18,2
21,17,15,10,1
21,13,14,39,2
21,19,8,12,2
21,12,14,38,2
21,19,4,11,2
21,19,4,31,2
21,16,15,39,2
21,17,15,10,1
21,14,13,16,2
21,16,9,41,2
21,15,14,26,2
21,19,8,17,2
21,13,5,31,2
21,19,6,14,2
21,18,12,1,1
21,9,6,31,2
21,16,3,10,1
21,15,3,32,2
21,15,6,41,2
21,17,13,2,1
21,10,6,25,1
21,4,23,25,2
21,6,19,26,2
21,17,3,40,2
21,12,8,38,2
21,19,3,41,2
21,19,10,1,1
21,19,7,9,2
21,15,3,30,2
21,16,3,33,2
21,14,6,19,2
21,13,17,35,2
21,19,9,10,2
21,17,3,22,2
21,16,3,23,2
21,10,13,23,2
21,18,3,38,2
21,1,28,19,2
21,18,13,10,1
21,12,11,30,2
21,17,3,25,2
21,14,14,25,2
22,15,8,39,2
22,17,10,2,1
22,14,14,39,2
22,19,7,12,2
22,19,7,38,2
22,19,3,17,2
22,18,10,5,1
22,15,15,7,2
22,14,11,16,2
22,18,4,11,2
22,17,3,38,2
22,18,6,15,2
22,19,5,37,2
22,11,12,31,2
22,19,7,18,2
22,18,3,14,2
22,17,3,39,2
22,17,3,38,2
22,19,12,28,2
22,17,3,36,2
22,11,13,33,2
22,18,5,9,1
22,16,13,6,1
22,13,6,34,2
22,18,14,17,2
22,17,3,26,2
22,19,10,3,1
22,18,7,2,1
22,18,14,37,2
22,19,14,37,2
22,17,3,34,2
22,19,11,2,1
22,19,5,41,2
22,13,10,30,2
22,19,3,20,2
22,16,5,30,2
22,16,3,29,2
22,19,14,18,2
22,19,5,23,2
22,18,3,39,2
22,15,8,40,2
22,18,5,9,2
22,17,3,29,2
22,19,10,18,2
22,18,12,3,1
22,15,15,9,2
22,19,3,39,2
22,19,10,7,1
22,19,3,24,2
22,18,14,11,1
22,17,3,35,2
22,18,7,41,2
22,19,8,17,2
22,18,11,5,1
22,16,8,9,1
22,15,3,38,2
22,9,12,27,2
22,17,9,15,2
22,9,11,26,2
22,18,8,4,1
22,18,5,40,2
22,19,3,41,2
22,18,3,13,2
22,17,9,4,1
22,19,4,41,2
22,12,8,35,2
22,19,8,39,2
22,10,12,27,2
22,19,5,41,2
22,18,11,2,1
22,17,4,40,2
22,12,6,34,2
22,15,9,28,2
22,15,10,12,1
22,19,5,35,2
22,18,14,20,2
22,13,5,31,2
22,19,6,41,2
22,19,7,12,2
22,19,6,9,2
22,19,10,6,1
22,19,5,41,2
22,12,7,33,2
22,10,13,35,2
22,18,8,41,2
22,19,3,23,2
22,16,3,38,2
22,18,3,25,2
22,19,4,41,2
22,18,7,41,2
22,10,14,34,2
22,18,7,14,2
22,16,5,40,2
22,14,5,29,2
22,19,11,16,2
23,19,4,33,2
23,18,6,37,2
23,19,10,28,2
23,17,6,29,2
23,18,15,39,2
23,19,8,29,2
23,19,12,38,2
23,16,16,38,2
23,18,10,16,2
23,19,4,30,2
23,18,15,20,2
23,18,10,15,2
23,17,16,12,2
23,18,15,14,2
23,18,10,8,1
23,15,10,35,2
23,19,5,33,2
23,18,14,15,2
23,18,10,8,1
23,18,7,39,2
23,16,11,13,1
23,19,9,23,2
23,16,16,34,2
23,19,6,30,2
23,19,4,31,2
23,16,16,35,2
23,19,3,35,2
23,18,9,34,2
23,17,11,5,1
23,16,13,10,1
23,19,13,19,2
23,16,11,8,1
23,14,16,34,2
23,19,15,18,2
23,19,9,28,2
23,17,9,16,2
23,15,12,13,1
23,17,15,31,2
23,18,13,39,2
23,17,9,13,2
23,19,3,27,2
23,19,7,38,2
23,16,16,36,2
23,12,10,34,2
23,19,3,29,2
23,16,7,31,2
23,19,4,35,2
23,19,5,38,2
23,16,14,39,2
23,19,11,35,2
23,18,6,34,2
23,14,11,36,2
23,19,14,19,2
23,19,4,28,2
23,19,14,19,2
23,16,9,38,2
23,17,15,12,2
23,19,5,35,2
23,14,15,33,2
23,19,12,39,2
23,18,14,22,2
23,19,7,39,2
23,18,10,16,2
24,19,12,33,2
24,18,12,11,1
24,17,12,11,1
24,17,16,37,2
24,19,15,35,2
24,19,8,33,2
24,17,14,14,2
24,16,14,16,2
24,18,14,9,1
24,19,12,37,2
24,16,14,14,2
24,17,14,9,2
24,19,11,38,2
24,19,7,34,2
24,17,16,38,2
24,17,14,14,2
