Adduct Code,Family code,Size Code,Size Family code,Sequence Code,Sequence Family code,Polymerase Code,Polymerase Family code,Outcome Code
22,F3,18,Z18,15,S24,18,P21,2
22,F3,18,Z18,14,S21,26,P2,2
22,F3,17,Z18,14,S21,18,P22,1
15,F2,13,Z18,14,S4,18,P21,2
15,F2,13,Z4,20,S21,18,P4,1
22,F3,18,Z18,15,S21,28,P2,1
20,F3,18,Z18,14,S4,18,P2,1
15,F2,13,Z18,14,S23,28,P2,2
22,F3,18,Z18,14,S3,18,P2,1
22,F3,17,Z18,14,S21,25,P2,1
22,F3,18,Z19,15,S21,18,P4,2
22,F3,18,Z18,16,S22,28,P2,1
22,F3,18,Z2,16,S3,28,P2,2
15,F3,18,Z18,14,S4,18,P2,2
16,F2,13,Z18,14,S21,18,P3,2
17,F3,18,Z18,14,S4,19,P2,1
22,F3,18,Z18,14,S21,22,P2,1
16,F2,18,Z4,21,S21,18,P4,2
22,F3,18,Z18,15,S21,28,P2,2
15,F2,13,Z18,14,S3,28,P2,2
15,F2,13,Z18,14,S4,28,P2,1
22,F3,18,Z18,14,S4,18,P2,1
15,F2,13,Z18,14,S21,22,P2,2
22,F3,18,Z19,16,S22,18,P4,2
15,F2,13,Z4,21,S21,18,P4,2
15,F2,13,Z18,14,S24,18,P2,2
22,F3,18,Z18,14,S22,18,P3,2
15,F2,13,Z18,14,S23,28,P2,1
15,F2,13,Z18,14,S4,27,P2,1
15,F2,13,Z18,14,S4,28,P2,1
15,F2,17,Z19,14,S3,18,P4,1
22,F3,18,Z18,15,S4,28,P2,1
20,F2,14,Z19,17,S21,18,P4,1
15,F2,13,Z18,14,S4,28,P2,2
16,F2,13,Z18,14,S21,28,P2,2
15,F2,14,Z18,14,S23,27,P2,1
15,F2,13,Z4,21,S4,18,P4,1
22,F3,13,Z18,14,S21,28,P2,2
22,F3,18,Z18,14,S4,18,P2,1
22,F3,18,Z18,14,S4,18,P2,1
15,F2,13,Z4,17,S21,18,P3,1
18,F3,14,Z18,14,S3,18,P2,2
17,F3,17,Z18,14,S24,27,P2,2
15,F2,13,Z18,14,S3,28,P2,2
15,F2,13,Z18,14,S4,27,P2,1
15,F2,13,Z2,14,S21,18,P4,1
15,F2,13,Z19,15,S4,22,P2,2
15,F2,13,Z18,14,S23,28,P2,2
22,F3,17,Z18,14,S21,26,P2,1
15,F2,13,Z4,21,S21,18,P4,1
15,F2,13,Z2,14,S22,20,P2,1
22,F3,18,Z18,14,S4,18,P20,2
15,F2,14,Z4,21,S21,18,P4,1
15,F2,13,Z4,21,S24,19,P4,1
22,F3,18,Z18,14,S21,18,P20,1
22,F3,18,Z18,14,S23,18,P3,2
15,F2,13,Z4,21,S23,18,P4,1
22,F3,18,Z18,14,S21,18,P22,2
22,F3,18,Z18,15,S21,19,P20,1
15,F2,13,Z18,14,S4,20,P2,1
15,F2,13,Z18,14,S4,18,P2,2
15,F2,13,Z18,14,S21,28,P2,2
15,F2,13,Z4,21,S21,18,P4,2
15,F2,13,Z19,14,S21,19,P21,2
15,F2,13,Z2,14,S3,26,P2,1
22,F3,18,Z18,14,S21,28,P2,2
21,F3,18,Z18,14,S4,18,P2,2
22,F3,18,Z18,14,S21,18,P4,2
15,F2,13,Z4,21,S21,18,P4,1
22,F3,18,Z18,14,S3,18,P2,1
15,F2,13,Z4,20,S3,18,P3,2
15,F2,13,Z19,14,S21,19,P22,2
22,F3,18,Z18,14,S21,18,P21,2
17,F2,13,Z18,14,S21,19,P2,2
15,F2,13,Z4,19,S23,18,P21,1
15,F2,13,Z4,21,S21,18,P4,1
22,F3,18,Z18,14,S22,19,P2,1
17,F3,18,Z18,14,S22,18,P2,2
15,F2,13,Z4,17,S22,18,P4,1
22,F3,18,Z18,14,S24,18,P2,2
22,F3,18,Z18,14,S21,18,P3,1
15,F2,13,Z18,14,S4,28,P2,2
15,F2,13,Z18,14,S3,28,P2,1
22,F3,18,Z18,14,S21,18,P20,2
15,F2,13,Z4,20,S21,18,P4,2
15,F2,13,Z4,21,S21,18,P4,2
18,F3,18,Z18,14,S21,18,P4,1
15,F2,13,Z18,14,S4,27,P2,1
22,F3,18,Z18,14,S21,18,P22,1
22,F3,18,Z18,15,S23,28,P2,2
16,F2,15,Z18,15,S22,18,P3,1
15,F2,13,Z4,20,S21,19,P4,2
22,F3,18,Z18,14,S23,28,P2,1
19,F3,18,Z18,14,S21,27,P2,1
15,F2,13,Z18,14,S21,19,P2,1
22,F3,18,Z18,14,S4,18,P21,1
19,F3,14,Z18,14,S24,28,P2,1
15,F2,13,Z3,16,S21,18,P3,1
16,F3,18,Z18,14,S22,18,P4,1
15,F3,13,Z18,14,S4,28,P2,2
22,F3,18,Z18,14,S3,18,P3,1
15,F2,13,Z2,17,S3,18,P20,2
15,F2,13,Z3,14,S4,18,P4,2
15,F2,13,Z18,14,S4,27,P2,1
22,F3,18,Z18,14,S3,28,P2,2
22,F3,18,Z18,15,S23,21,P2,1
15,F3,13,Z18,14,S3,28,P2,2
15,F2,16,Z18,14,S24,18,P2,1
15,F2,16,Z4,20,S21,18,P4,2
22,F3,18,Z18,14,S24,18,P4,2
16,F3,14,Z18,14,S3,21,P2,1
22,F3,18,Z18,14,S3,18,P20,2
15,F2,13,Z4,21,S21,18,P4,1
16,F3,15,Z18,14,S24,18,P2,2
15,F2,13,Z19,14,S3,28,P2,2
15,F2,17,Z2,15,S3,18,P4,2
15,F2,13,Z18,14,S4,27,P2,1
15,F2,13,Z18,14,S23,28,P2,2
15,F2,13,Z18,14,S21,28,P2,2
19,F3,18,Z18,14,S4,21,P2,1
15,F2,13,Z4,21,S21,18,P4,2
22,F3,14,Z18,14,S21,28,P2,1
15,F2,13,Z19,15,S21,18,P22,2
21,F3,17,Z18,14,S24,18,P2,2
16,F2,14,Z18,14,S21,19,P2,1
15,F2,13,Z4,20,S21,21,P3,1
15,F2,13,Z18,14,S3,22,P2,1
16,F2,16,Z4,18,S21,18,P4,2
15,F2,13,Z18,14,S23,18,P20,1
15,F2,13,Z18,14,S4,19,P2,2
22,F3,18,Z18,15,S24,19,P20,1
22,F3,18,Z18,14,S22,18,P2,2
17,F2,18,Z19,14,S21,18,P4,2
22,F3,18,Z18,14,S22,28,P2,2
22,F3,18,Z18,15,S4,18,P20,1
22,F3,18,Z18,16,S3,28,P2,1
22,F3,18,Z18,14,S21,28,P2,1
15,F2,13,Z18,14,S4,19,P2,1
22,F3,18,Z18,14,S21,18,P4,2
15,F2,13,Z18,14,S21,27,P2,1
15,F2,13,Z4,21,S22,18,P4,1
15,F2,13,Z19,15,S23,20,P2,1
15,F2,13,Z19,14,S21,18,P22,1
15,F2,13,Z2,15,S3,18,P3,2
22,F3,18,Z18,14,S21,18,P21,2
20,F3,18,Z18,14,S24,18,P21,2
17,F2,18,Z18,14,S4,18,P4,2
15,F2,13,Z2,15,S3,18,P4,1
16,F3,17,Z18,14,S4,26,P2,2
22,F3,17,Z18,14,S4,20,P2,2
15,F2,13,Z4,18,S4,18,P22,1
22,F3,18,Z18,14,S3,18,P21,1
22,F3,18,Z18,15,S3,18,P21,2
15,F2,13,Z18,14,S4,28,P2,1
16,F2,13,Z18,15,S21,18,P22,2
22,F3,18,Z18,14,S21,18,P2,2
22,F3,18,Z18,15,S4,28,P2,2
15,F2,13,Z4,21,S21,18,P4,1
15,F2,13,Z19,14,S3,18,P2,1
19,F3,16,Z18,14,S21,18,P21,1
15,F2,13,Z18,14,S22,28,P2,2
15,F2,13,Z4,14,S22,19,P20,1
15,F2,13,Z18,14,S4,19,P2,2
17,F2,18,Z18,14,S23,18,P4,1
22,F3,18,Z18,14,S21,18,P2,2
15,F2,13,Z18,14,S4,28,P2,1
15,F2,13,Z4,21,S21,18,P4,1
15,F2,13,Z18,14,S3,28,P2,1
15,F2,14,Z4,21,S3,18,P4,2
22,F3,18,Z18,14,S24,18,P22,1
15,F2,13,Z18,14,S22,21,P2,2
22,F3,18,Z18,16,S4,28,P2,1
21,F3,17,Z18,14,S21,18,P3,1
22,F3,18,Z18,14,S21,18,P4,2
15,F2,13,Z18,14,S3,28,P2,1
21,F3,13,Z18,14,S21,28,P2,2
22,F3,18,Z18,14,S21,18,P4,2
17,F3,15,Z18,14,S22,19,P2,2
22,F3,14,Z18,14,S21,28,P2,1
19,F2,13,Z18,14,S3,28,P2,2
15,F2,13,Z18,14,S4,19,P2,1
15,F2,17,Z18,14,S4,18,P22,2
15,F2,13,Z2,15,S24,18,P4,1
15,F2,18,Z18,14,S21,18,P4,2
20,F3,14,Z18,14,S21,28,P2,2
15,F2,13,Z18,14,S4,22,P2,1
15,F2,13,Z4,17,S21,18,P4,1
15,F2,13,Z4,15,S21,18,P4,2
15,F2,13,Z18,14,S4,28,P2,2
18,F3,13,Z18,14,S22,28,P2,2
22,F3,18,Z18,14,S21,18,P21,1
15,F2,13,Z18,14,S23,28,P2,1
18,F3,18,Z18,14,S23,18,P21,1
15,F2,13,Z18,14,S22,27,P2,1
15,F3,18,Z18,14,S4,18,P2,1
22,F3,18,Z18,14,S24,18,P22,1
15,F2,13,Z4,21,S4,18,P4,2
22,F3,18,Z18,14,S4,24,P2,2
22,F3,18,Z18,14,S21,18,P4,2
15,F2,14,Z3,18,S21,18,P4,2
16,F3,18,Z18,14,S4,18,P21,1
15,F2,13,Z3,14,S4,28,P2,1
21,F3,17,Z18,14,S3,28,P2,1
22,F3,18,Z18,14,S21,25,P2,1
15,F2,13,Z18,14,S24,18,P20,2
15,F2,13,Z3,19,S23,18,P4,1
19,F2,17,Z18,14,S22,18,P4,2
19,F3,18,Z18,14,S22,18,P22,2
16,F2,16,Z18,14,S21,18,P4,2
22,F3,18,Z18,14,S21,18,P3,2
22,F3,18,Z18,14,S3,18,P22,1
15,F2,13,Z4,21,S21,18,P4,2
22,F3,18,Z18,14,S21,25,P2,2
22,F3,18,Z18,14,S24,28,P2,1
22,F3,18,Z18,14,S24,18,P3,2
22,F3,18,Z18,14,S3,18,P21,2
15,F2,13,Z4,21,S24,18,P4,1
15,F2,13,Z4,21,S21,18,P4,2
22,F3,18,Z18,14,S24,28,P2,1
15,F2,13,Z4,21,S21,18,P4,2
15,F2,13,Z18,14,S24,28,P2,1
17,F3,18,Z18,14,S4,18,P2,1
15,F2,13,Z18,14,S4,28,P2,2
15,F2,13,Z4,21,S21,18,P4,2
22,F3,18,Z18,14,S21,18,P3,2
15,F2,13,Z18,14,S4,28,P2,1
22,F3,18,Z18,14,S3,28,P2,1
16,F2,16,Z19,14,S21,18,P4,2
15,F2,13,Z18,14,S21,23,P2,1
16,F3,18,Z18,14,S4,18,P2,1
15,F2,13,Z18,14,S4,26,P2,1
15,F2,13,Z4,21,S21,18,P4,2
15,F2,13,Z4,21,S21,18,P4,2
15,F2,13,Z19,14,S4,18,P20,1
22,F3,18,Z18,14,S21,18,P22,1
22,F3,18,Z18,14,S3,18,P20,2
15,F2,13,Z18,14,S4,28,P2,2
22,F3,18,Z18,14,S21,18,P4,1
15,F2,13,Z2,15,S21,18,P4,1
22,F3,18,Z18,14,S4,18,P2,1
22,F3,18,Z18,14,S24,18,P22,1
15,F2,13,Z18,14,S4,21,P2,1
18,F2,17,Z18,15,S22,18,P4,1
15,F2,13,Z3,18,S21,18,P4,2
15,F2,13,Z2,18,S21,18,P4,1
22,F3,18,Z18,14,S4,18,P20,1
22,F3,18,Z18,15,S23,28,P2,2
20,F3,18,Z18,14,S4,18,P20,2
15,F2,13,Z18,14,S4,28,P2,2
15,F2,15,Z4,21,S24,18,P4,2
22,F3,18,Z18,14,S21,18,P2,2
22,F3,18,Z18,14,S21,28,P2,2
22,F3,18,Z18,14,S21,18,P4,2
22,F3,18,Z18,14,S4,18,P3,1
22,F3,18,Z18,16,S4,28,P2,2
15,F2,13,Z18,14,S4,19,P2,1
15,F2,13,Z2,14,S21,18,P3,1
22,F3,18,Z18,14,S21,18,P20,2
15,F2,13,Z18,14,S4,28,P2,1
22,F3,18,Z18,14,S23,20,P2,2
22,F3,18,Z18,14,S21,18,P4,2
15,F2,13,Z4,15,S21,18,P4,1
22,F3,18,Z18,14,S21,18,P4,1
17,F2,17,Z18,14,S23,18,P4,2
15,F2,13,Z4,21,S21,18,P4,1
15,F2,13,Z18,14,S23,18,P22,2
15,F2,13,Z4,21,S21,18,P4,2
15,F2,13,Z4,19,S4,21,P2,1
15,F2,13,Z4,19,S3,18,P4,1
15,F2,13,Z4,21,S3,18,P4,2
18,F3,18,Z18,14,S21,18,P20,2
15,F2,13,Z4,21,S21,18,P4,1
22,F3,18,Z18,14,S21,28,P2,1
15,F2,13,Z4,21,S23,18,P4,1
22,F3,18,Z18,14,S23,18,P21,1
15,F2,16,Z4,19,S21,18,P4,1
15,F2,13,Z18,14,S4,25,P2,2
15,F2,13,Z4,21,S21,18,P4,1
15,F2,13,Z4,20,S21,18,P4,2
17,F2,13,Z18,14,S21,18,P4,2
15,F2,17,Z18,14,S4,19,P2,2
22,F3,18,Z18,14,S24,18,P4,1
15,F2,14,Z18,14,S4,18,P20,1
22,F3,18,Z18,14,S21,18,P2,2
15,F2,13,Z4,21,S21,21,P4,1
15,F2,13,Z18,14,S3,20,P2,2
16,F2,13,Z18,14,S3,20,P2,1
15,F2,13,Z4,21,S21,18,P4,2
15,F2,13,Z18,14,S4,22,P2,2
15,F2,13,Z18,14,S4,28,P2,1
15,F2,13,Z4,21,S21,18,P4,1
15,F2,13,Z18,14,S4,21,P2,2
16,F2,18,Z18,14,S21,18,P4,1
15,F2,14,Z18,14,S21,18,P3,2
15,F2,13,Z18,14,S4,20,P2,2
22,F3,18,Z18,14,S24,23,P2,1
16,F2,18,Z19,17,S22,18,P4,2
22,F3,18,Z18,14,S23,28,P2,2
15,F2,18,Z4,19,S21,18,P4,2
15,F2,16,Z2,15,S21,18,P4,1
22,F3,18,Z18,14,S3,18,P2,2
22,F3,18,Z18,14,S21,18,P20,1
15,F3,18,Z18,14,S24,18,P4,1
15,F2,13,Z2,17,S21,18,P21,2
22,F3,18,Z18,14,S21,18,P4,2
15,F2,13,Z4,21,S21,18,P4,1
22,F3,18,Z18,14,S21,18,P4,1
15,F2,13,Z4,21,S21,18,P4,2
15,F2,13,Z19,14,S4,24,P2,1
15,F2,16,Z2,14,S21,18,P4,2
22,F3,18,Z18,15,S21,22,P21,1
15,F2,13,Z3,15,S21,19,P20,2
16,F2,16,Z18,14,S24,18,P3,1
15,F2,13,Z18,14,S22,24,P2,1
15,F2,13,Z18,14,S4,28,P2,2
22,F3,18,Z18,14,S23,19,P2,2
15,F2,13,Z18,14,S4,18,P21,1
22,F3,18,Z18,14,S21,18,P20,1
15,F2,13,Z18,14,S21,25,P2,2
15,F2,13,Z18,14,S21,27,P2,1
15,F2,13,Z4,21,S21,18,P4,2
15,F2,13,Z4,21,S21,19,P4,2
18,F3,17,Z18,14,S22,18,P20,1
15,F2,13,Z3,14,S21,18,P4,1
15,F2,13,Z4,21,S22,18,P4,1
22,F3,18,Z18,14,S22,18,P2,1
22,F3,18,Z18,14,S21,18,P4,2
22,F3,18,Z18,14,S4,28,P2,1
22,F3,18,Z19,15,S3,26,P2,1
15,F2,13,Z2,14,S21,18,P4,2
15,F2,15,Z2,16,S3,18,P4,2
15,F2,13,Z4,15,S4,27,P2,1
15,F2,13,Z18,14,S4,27,P2,2
18,F2,17,Z18,14,S23,18,P21,1
15,F2,16,Z18,14,S3,18,P20,2
15,F2,13,Z4,21,S21,18,P4,2
15,F2,13,Z4,21,S21,18,P4,2
22,F3,18,Z18,14,S21,18,P20,2
15,F2,14,Z4,17,S22,18,P4,1
22,F3,18,Z18,14,S3,18,P2,1
15,F2,13,Z18,14,S21,28,P2,1
15,F2,14,Z18,14,S4,18,P22,2
15,F2,13,Z4,21,S21,18,P4,2
22,F3,18,Z18,14,S3,18,P2,1
22,F3,18,Z18,14,S21,21,P20,1
15,F2,15,Z18,14,S4,27,P2,1
22,F3,18,Z18,14,S21,18,P4,2
22,F3,17,Z18,15,S4,28,P2,2
22,F3,18,Z18,14,S4,18,P21,1
22,F3,18,Z18,14,S21,18,P20,1
22,F3,18,Z18,14,S23,20,P2,1
15,F2,13,Z18,14,S3,28,P2,1
15,F2,13,Z18,14,S21,20,P2,2
15,F2,13,Z4,19,S4,20,P3,1
15,F2,13,Z4,16,S3,20,P22,1
16,F2,13,Z18,14,S21,26,P2,2
22,F3,18,Z18,14,S21,18,P22,2
15,F2,13,Z18,14,S4,28,P2,1
16,F3,13,Z18,14,S4,26,P2,2
15,F2,13,Z4,21,S4,18,P4,1
17,F2,15,Z18,14,S22,18,P22,2
16,F3,13,Z18,14,S23,27,P2,1
16,F2,13,Z18,15,S21,18,P20,2
15,F2,13,Z4,20,S22,18,P4,2
22,F3,18,Z19,16,S21,28,P2,2
15,F2,13,Z4,21,S21,18,P4,2
22,F3,18,Z18,15,S21,18,P22,2
15,F2,13,Z4,21,S23,18,P4,2
15,F2,16,Z18,15,S23,18,P3,1
15,F2,13,Z18,14,S4,28,P2,2
22,F3,18,Z18,14,S4,18,P20,2
22,F3,18,Z18,14,S3,18,P22,2
18,F2,13,Z18,14,S21,18,P2,1
22,F3,18,Z18,14,S21,18,P3,1
21,F3,16,Z18,14,S3,18,P2,1
17,F2,18,Z18,14,S3,18,P4,2
22,F3,18,Z18,15,S21,18,P21,2
15,F2,15,Z18,14,S23,23,P2,1
16,F3,18,Z18,14,S3,22,P2,1
15,F2,13,Z4,21,S24,18,P4,2
22,F3,18,Z18,14,S21,18,P4,2
22,F3,18,Z18,14,S4,18,P2,1
16,F2,13,Z3,19,S21,18,P4,1
15,F2,13,Z4,20,S24,19,P3,1
15,F2,13,Z4,21,S21,18,P4,2
15,F2,13,Z18,14,S21,28,P2,2
22,F3,18,Z18,14,S3,28,P2,1
15,F2,13,Z4,21,S4,18,P4,1
22,F3,18,Z18,14,S21,18,P21,2
15,F2,13,Z4,21,S21,18,P4,1
22,F3,18,Z18,14,S22,19,P2,1
16,F2,13,Z18,14,S23,28,P2,2
15,F2,13,Z18,14,S3,19,P2,1
17,F3,13,Z18,14,S3,28,P2,2
17,F3,15,Z18,14,S21,18,P3,1
22,F3,18,Z18,14,S21,18,P3,1
22,F3,18,Z18,15,S3,20,P2,2
22,F3,18,Z18,14,S21,18,P20,2
15,F2,13,Z18,14,S3,18,P20,2
16,F2,13,Z18,14,S21,28,P2,2
16,F3,13,Z18,14,S3,28,P2,1
22,F3,18,Z18,14,S21,18,P3,1
15,F2,13,Z18,14,S4,28,P2,1
15,F3,13,Z18,14,S23,28,P2,2
17,F3,13,Z18,14,S4,28,P2,1
15,F2,13,Z4,20,S21,18,P4,2
15,F2,13,Z4,21,S21,18,P4,2
22,F3,18,Z18,14,S22,18,P22,1
18,F3,13,Z18,14,S21,25,P2,2
16,F3,17,Z18,14,S3,26,P2,1
15,F2,13,Z4,21,S21,18,P4,1
15,F2,14,Z18,14,S21,18,P22,1
15,F2,13,Z18,14,S4,28,P2,1
22,F3,18,Z18,14,S22,18,P4,2
15,F2,14,Z4,18,S21,18,P4,1
22,F3,18,Z18,14,S21,18,P3,2
15,F2,17,Z18,14,S4,19,P2,1
16,F2,17,Z18,14,S22,18,P21,1
22,F3,18,Z18,14,S21,18,P2,2
15,F2,13,Z18,15,S4,20,P20,1
22,F3,18,Z18,14,S24,18,P2,2
22,F3,18,Z18,14,S21,18,P4,1
22,F3,18,Z18,14,S22,22,P2,2
22,F3,18,Z18,14,S21,22,P2,2
15,F2,13,Z18,14,S24,27,P2,1
22,F3,18,Z18,15,S4,28,P2,2
15,F2,13,Z4,20,S21,18,P4,1
15,F3,13,Z18,14,S3,28,P2,2
19,F2,18,Z19,14,S21,18,P4,1
15,F2,13,Z4,21,S21,20,P4,1
22,F3,18,Z18,17,S24,23,P2,1
15,F2,13,Z18,14,S4,28,P2,1
15,F2,13,Z4,21,S21,18,P4,1
22,F3,17,Z18,14,S3,19,P2,2
15,F2,17,Z18,14,S4,18,P2,1
15,F2,14,Z18,14,S4,18,P2,1
22,F3,18,Z18,15,S4,19,P2,1
15,F2,13,Z3,15,S23,18,P4,2
15,F2,13,Z2,16,S4,22,P2,2
15,F3,17,Z18,14,S3,28,P2,1
17,F3,13,Z18,14,S23,20,P2,2
19,F3,18,Z18,14,S22,26,P2,1
15,F2,13,Z4,21,S21,28,P2,1
22,F3,16,Z18,14,S24,25,P2,1
21,F3,17,Z18,14,S22,28,P2,2
19,F3,18,Z18,14,S21,18,P4,1
22,F3,18,Z18,14,S24,18,P22,2
15,F2,13,Z18,14,S21,28,P2,1
20,F3,16,Z18,14,S4,28,P2,1
22,F3,18,Z18,14,S21,18,P3,2
22,F3,18,Z18,14,S24,19,P2,1
22,F3,18,Z18,14,S21,18,P20,2
22,F3,18,Z18,14,S22,18,P4,1
17,F2,14,Z18,15,S23,18,P4,1
22,F3,18,Z18,14,S21,18,P3,1
15,F2,13,Z18,14,S3,24,P2,2
15,F2,13,Z4,21,S21,18,P4,1
22,F3,18,Z18,14,S21,28,P2,1
15,F2,13,Z4,17,S24,19,P4,2
15,F2,14,Z19,14,S23,18,P4,2
22,F3,18,Z18,14,S24,18,P2,2
15,F2,13,Z19,16,S22,18,P22,1
16,F3,16,Z18,14,S22,18,P2,2
15,F2,13,Z4,20,S21,18,P4,1
15,F2,13,Z19,15,S21,18,P4,2
17,F3,13,Z18,14,S24,28,P2,1
19,F3,13,Z18,14,S3,28,P2,2
15,F2,14,Z18,14,S3,18,P3,1
22,F3,17,Z18,14,S21,18,P20,1
15,F2,13,Z4,21,S21,18,P4,2
15,F2,13,Z4,21,S21,18,P4,1
17,F3,13,Z18,14,S3,28,P2,1
22,F3,18,Z18,14,S3,18,P4,2
18,F3,18,Z18,14,S4,18,P2,1
22,F3,13,Z18,14,S24,28,P2,1
22,F3,18,Z18,14,S4,18,P20,2
22,F3,18,Z18,14,S23,18,P4,2
15,F3,13,Z18,14,S24,28,P2,2
22,F3,18,Z18,15,S3,18,P20,2
22,F3,18,Z18,15,S4,18,P20,1
15,F3,15,Z18,14,S4,28,P2,1
15,F2,13,Z4,20,S21,18,P4,2
22,F3,17,Z18,14,S21,18,P21,1
15,F2,13,Z18,14,S4,28,P2,1
15,F2,13,Z18,14,S21,18,P20,2
15,F2,17,Z4,19,S21,18,P4,1
16,F2,15,Z18,14,S21,19,P2,1
15,F2,13,Z19,16,S3,18,P4,2
22,F3,18,Z18,14,S3,18,P2,1
15,F2,15,Z2,15,S23,18,P4,1
15,F2,13,Z18,14,S23,19,P20,2
21,F3,13,Z18,14,S21,28,P2,1
16,F3,16,Z18,14,S23,18,P2,1
22,F3,18,Z18,14,S21,18,P20,2
22,F3,18,Z18,14,S21,18,P4,1
15,F2,13,Z4,21,S22,18,P4,2
22,F3,18,Z18,14,S22,18,P4,2
15,F2,15,Z2,16,S23,18,P4,1
15,F2,16,Z4,20,S4,18,P4,1
15,F2,13,Z4,21,S22,18,P4,2
15,F2,13,Z4,21,S21,18,P4,1
15,F2,14,Z4,20,S21,18,P4,2
22,F3,18,Z18,15,S4,27,P2,1
15,F2,13,Z19,17,S4,18,P3,1
20,F3,18,Z18,14,S3,18,P2,2
16,F3,17,Z18,14,S24,20,P2,1
15,F2,13,Z18,14,S4,24,P2,1
15,F2,13,Z4,21,S24,18,P4,1
15,F2,13,Z4,16,S21,19,P21,1
15,F2,13,Z18,14,S3,28,P2,2
22,F3,18,Z18,14,S23,18,P2,1
22,F3,18,Z18,14,S21,18,P3,1
15,F2,13,Z18,14,S3,28,P2,2
22,F3,18,Z18,14,S23,18,P20,2
15,F2,13,Z4,21,S21,18,P4,1
22,F3,18,Z18,14,S21,18,P4,1
17,F2,15,Z18,14,S22,18,P21,1
15,F2,13,Z4,21,S21,20,P4,2
21,F3,18,Z18,14,S4,18,P2,2
17,F3,18,Z18,14,S3,18,P20,2
22,F3,18,Z19,15,S4,28,P2,2
22,F3,18,Z18,14,S3,18,P2,2
15,F2,13,Z4,14,S22,27,P2,2
22,F3,18,Z18,14,S21,21,P2,2
22,F3,17,Z18,14,S24,28,P2,2
22,F3,18,Z18,15,S4,18,P2,2
22,F3,18,Z18,14,S21,18,P20,2
22,F3,18,Z18,14,S23,19,P2,2
22,F3,14,Z18,14,S23,28,P2,1
15,F3,18,Z18,14,S4,18,P2,2
22,F3,18,Z18,14,S3,19,P2,1
15,F3,18,Z18,14,S4,23,P2,2
15,F2,13,Z4,21,S21,18,P4,2
17,F3,15,Z18,14,S3,19,P2,2
21,F3,18,Z18,14,S4,26,P2,1
15,F2,13,Z18,14,S3,20,P2,2
16,F2,13,Z18,14,S21,19,P2,2
15,F2,13,Z3,14,S24,28,P2,1
15,F2,13,Z18,14,S4,28,P2,2
22,F3,18,Z18,14,S22,18,P2,2
22,F3,18,Z18,14,S21,18,P4,1
18,F3,17,Z18,14,S24,18,P21,2
20,F3,16,Z18,14,S3,23,P2,2
22,F3,18,Z18,14,S21,18,P22,2
22,F3,18,Z18,14,S22,18,P2,1
22,F3,18,Z18,14,S21,18,P4,1
22,F3,15,Z18,14,S23,28,P2,2
17,F3,18,Z18,14,S3,25,P2,1
15,F2,13,Z4,21,S21,18,P4,1
22,F3,18,Z18,14,S21,18,P4,1
18,F3,13,Z18,14,S21,28,P2,1
22,F3,18,Z18,14,S4,22,P2,1
15,F2,13,Z18,14,S3,28,P2,1
20,F3,18,Z18,14,S4,27,P2,1
22,F3,17,Z18,14,S21,26,P2,2
20,F2,17,Z18,14,S24,18,P2,1
22,F3,18,Z18,14,S21,18,P4,2
15,F2,13,Z3,20,S22,18,P4,1
21,F3,18,Z18,14,S21,18,P22,2
15,F3,13,Z18,14,S21,28,P2,1
22,F3,18,Z19,15,S21,28,P2,1
